       361      1.00   1117.80 co       total
cross section:
lambda=2.a-72.5a  henry, r. j. w. and mcelroy, m. b. (1968)
   photoelectrons in planetary atmospheres, in the atmospheres of venus and
   mars, j. c. brandt and m. b. mcelroy, eds. gordon breach science
publishers.
   inc., new york, london, paris
lambda=89.6a-564.5a  masuoka, t. and samson, j. a. r. (1980)
   j. chem. phys. 74, 1093
lambda=584.3a-1037.6a  cairns, r. b. and samson, j. a. r. (1965)
   j. geophys. res. 70, 99
lambda=600.a-1002.5a  cook, g. r., metzger, p. h. and ogawa, m. (1965)
   can. j. phys. 43, 1706
threshold:
lambda=1117.8a  krupenie, p. h. (1966)
   the band spectrum of carbon monoxide, nsrds-nbs 5
   (dissociation wavelength)

   int. j. mass spectry. and ion phys. 22, 283
   (branching ratio for dissociative ionization)
threshold:
lambda=554.7a  kronebush, p. l. and berkowitz, j. (1976)
   int. j. mass spectry. and ion phys. 22, 283
   (photodissociative ionization threshold)

      1.00  5.00e-01
     89.60  3.00e-01
     99.50  2.90e-01
    109.40  3.00e-01
    119.30  2.90e-01
    129.20  2.80e-01
    139.20  2.80e-01
    149.20  2.70e-01
    159.00  2.70e-01
    168.90  2.60e-01
    178.80  2.50e-01
    188.70  2.40e-01
    198.60  2.40e-01
    208.50  2.40e-01
    218.40  2.20e-01
    228.40  2.20e-01
    238.30  2.10e-01
    248.20  2.00e-01
    258.00  1.80e-01
    268.00  1.70e-01
    277.90  1.50e-01
    287.80  1.40e-01
    297.70  1.30e-01
    307.60  1.20e-01
    329.00  8.20e-02
    337.30  6.60e-02
    351.40  6.00e-02
    363.00  5.30e-02
    374.70  4.70e-02
    381.40  4.80e-02
    390.00  4.80e-02
    405.40  5.40e-02
    410.00  4.80e-02
    415.90  5.10e-02
    436.70  5.50e-02
    442.20  5.20e-02
    447.00  5.30e-02
    449.70  5.30e-02
    457.50  5.50e-02
    459.30  5.30e-02
    462.00  5.50e-02
    465.40  5.10e-02
    471.50  4.60e-02
    475.30  4.90e-02
    479.40  4.80e-02
    486.60  4.30e-02
    491.70  4.20e-02
    495.90  4.15e-02
    500.20  4.19e-02
    508.50  3.60e-02
    514.00  3.20e-02
    519.40  3.10e-02
    526.50  2.60e-02
    538.50  2.00e-02
    544.70  1.50e-02
    548.90  1.20e-02
    551.40  1.00e-02
    554.70  0.00e+00
   1117.8   0.00e+00
        50      0.00    501.80 co       oic       7 40
branching ratio:
lambda=89.6a-479.4a  masuoka, t. and samson, j. a. r. (1980)
   j. chem. phys. 74, 1093
lambda=490.a-584.a  kronebusch, p. l. and berkowitz, j. (1976)
   int. j. mass spectry. and ion phys. 22, 283
   (branching ratio for dissociative ionization)
threshold:
lambda=501.8a  kronebush, p. l. and berkowitz, j. (1976)
   int. j. mass spectry. and ion phys. 22, 283
   (photodissociative ionization threshold)

      1.00  5.00e-01
     89.60  2.70e-01
     99.50  2.70e-01
    109.40  2.60e-01
    119.30  2.60e-01
    129.20  2.50e-01
    139.20  2.50e-01
    149.20  2.40e-01
    159.00  2.30e-01
    168.90  2.20e-01
    178.80  2.20e-01
    188.70  2.20e-01
    198.60  2.20e-01
    208.50  2.10e-01
    218.40  2.10e-01
    228.40  2.00e-01
    238.30  2.00e-01
    248.20  1.90e-01
    258.00  1.80e-01
    268.00  1.60e-01
    277.90  1.40e-01
    287.80  1.30e-01
    297.70  1.10e-01
    307.60  9.60e-02
    329.00  6.80e-02
    337.30  6.00e-02
    351.40  4.30e-02
    363.00  3.50e-02
    374.70  3.10e-02
    381.40  2.60e-02
    390.00  2.30e-02
    405.40  5.90e-03
    410.00  8.00e-03
    415.90  7.00e-03
    436.70  4.00e-03
    442.20  4.00e-03
    447.00  3.00e-03
    449.70  4.00e-03
    457.50  2.00e-03
    459.30  1.00e-03
    462.00  1.00e-03
    465.40  3.00e-03
    471.50  2.00e-03
    486.60  2.00e-03
    490.00  1.95e-03
    491.70  1.00e-03
    495.90  5.00e-04
    500.20  1.00e-04
    501.80  0.00e+00
   1117.8   0.00e+00
       104      0.00   1117.80 co       cdo       6 26
branching ratios:
lambda=0.-1117.8a  mcelroy, m. b. and mcconnell, j. c. (1971)
   j. geophys. res. 76, 6674
   (branch for c(1d), o(1d))

      1.00  0.00e 00
    784.90  0.00e 00
    785.00  5.00e-03
    786.10  8.00e-03
    787.70  1.00e-02
    789.00  3.00e-02
    790.20  6.00e-03
    790.60  5.00e-02
    791.50  7.00e-02
    793.20  6.00e-02
    794.00  7.00e-02
    795.10  6.00e-02
    795.60  7.00e-02
    796.00  8.00e-02
    796.80  1.30e-01
    797.30  1.20e-01
    798.00  2.50e-01
    799.00  1.10e-01
    799.70  1.00e-01
    800.70  1.50e-01
    803.00  8.00e-02
    804.70  1.10e-01
    805.30  2.90e-01
    806.20  1.10e-01
    807.10  2.80e-01
    808.50  1.10e-01
    810.20  1.00e-01
    811.00  1.20e-01
    813.00  8.00e-02
    814.40  1.50e-01
    816.40  8.00e-02
    817.00  1.00e-01
    818.00  4.50e-01
    818.50  1.30e-01
    819.80  9.00e-02
    821.00  1.00e-01
    821.50  1.05e-01
    823.00  1.10e-02
    824.50  4.50e-01
    825.40  2.46e-01
    826.40  2.17e-01
    827.00  1.20e-01
    827.80  4.10e-01
    829.00  7.00e-02
    829.90  2.85e-01
    830.80  2.21e-01
    832.40  1.55e-01
    833.50  4.50e-02
    833.70  1.00e-01
    834.50  6.00e-02
    835.20  3.70e-02
    836.20  2.50e-01
    838.50  1.13e-01
    840.00  8.00e-03
    841.20  1.82e-01
    843.00  1.02e-01
    844.00  1.20e-01
    845.00  5.30e-02
    845.70  8.70e-02
    846.30  6.00e-02
    846.80  2.20e-02
    848.00  1.58e-01
    848.50  2.37e-01
    849.00  1.70e-01
    851.00  3.52e-01
    851.90  3.22e-01
    852.30  3.15e-01
    852.70  3.13e-01
    853.60  2.66e-01
    854.20  2.40e-01
    856.20  3.43e-01
    857.20  2.50e-01
    858.00  1.30e-01
    858.30  8.80e-02
    859.00  1.10e-01
    860.00  2.46e-01
    860.20  3.60e-01
    861.20  2.00e-01
    863.00  4.32e-01
    863.50  3.84e-01
    864.60  3.50e-01
    865.50  4.80e-01
    866.50  4.23e-01
    867.00  4.56e-01
    867.70  3.07e-01
    869.00  3.79e-01
    870.00  2.64e-01
    870.70  2.62e-01
    871.50  3.33e-01
    872.30  2.87e-01
    873.50  4.02e-01
    874.00  3.48e-01
    875.00  1.96e-01
    876.00  4.01e-01
    877.00  4.94e-01
    877.50  4.48e-01
    878.30  4.90e-01
    880.00  2.84e-01
    880.90  4.08e-01
    881.20  4.45e-01
    884.00  4.34e-01
    884.50  2.22e-01
    885.00  1.00e 00
   1117.80  1.00e 00
         0      0.00    863.40 co       c1ddo1d   7 26
***
